0.0030,0.0013,0.0074,0.0017
0.0977,-0.0004,0.0951,0.0014
0.0991,0.0985,0.0963,0.0929
0.0009,0.0984,0.0050,0.0925
-0.0977,0.0983,-0.0873,0.0922
-0.0984,0.0001,-0.0872,-0.0001
-0.0987,-0.0982,-0.0872,-0.0936
-0.0014,-0.0999,0.0043,-0.0917
0.0977,-0.0990,0.0961,-0.0916
0.1991,-0.0017,0.1888,-0.0012
0.2000,0.1982,0.1923,0.1871
0.0091,0.2018,0.0119,0.1875
-0.1962,0.2003,-0.1826,0.1879
-0.2007,0.0088,-0.1824,0.0058
-0.2004,-0.1976,-0.1825,-0.1870
-0.0098,-0.2047,-0.0037,-0.1914
0.1979,-0.2012,0.1910,-0.1873
0.3021,-0.0065,0.2838,-0.0060
0.2993,0.2984,0.2877,0.2841
0.0112,0.3012,0.0136,0.2786
-0.2978,0.2982,-0.2806,0.2830
-0.3010,0.0101,-0.2748,0.0085
-0.2989,-0.2994,-0.2773,-0.2882
-0.0051,-0.3005,0.0010,-0.2802
0.2993,-0.3001,0.2895,-0.2845
0.3741,-0.0109,0.3480,-0.0086
0.3990,0.3982,0.3853,0.3822
0.0367,0.3521,0.0377,0.3255
-0.3805,0.0036,-0.3476,-0.0019
-0.3969,-0.3976,-0.3721,-0.3884
-0.0099,-0.3723,-0.0004,-0.3428
0.3964,-0.3982,0.3870,-0.3762
-0.3976,0.3989,-0.3850,0.3760